"","Date","Visitor/Neutral","PTS","Home/Neutral","PTS_1","Home_team_wins","X1","pts_poss_off1920.x","pts_poss_def1920.x","efg_percent_off1920.x","efg_percent_def1920.x","tov_percent_off1920.x","tov_percent_def1920.x","orb_percent_off1920.x","orb_percent_def1920.x","ft_rate_off1920.x","ft_rate_def1920.x","pts_poss_off1920.y","pts_poss_def1920.y","efg_percent_off1920.y","efg_percent_def1920.y","tov_percent_off1920.y","tov_percent_def1920.y","orb_percent_off1920.y","orb_percent_def1920.y","ft_rate_off1920.y","ft_rate_def1920.y","HOME_TEAM_WINS","efg_diff_off","efg_diff_def","tov_diff_off","tov_diff_def","orb_diff_off","orb_diff_def","ft_diff_off","ft_diff_def","pts_poss_off","pts_poss_def","estimate"
"1","Tue, Dec 22, 2020","Golden State Warriors",99,"Brooklyn Nets",125,1,1386,104.9,114.5,50,55.8,14.8,15.3,23.9,26.8,21,19.6,109.4,110.1,52.4,51.3,14.9,12.4,26.9,25.2,19.9,19,NA,-2.4,4.5,-0.0999999999999996,2.9,-3,1.6,1.1,0.600000000000001,-4.5,4.40000000000001,0.537369257679711
"2","Tue, Dec 22, 2020","Los Angeles Clippers",116,"Los Angeles Lakers",109,0,108,114.2,107.7,53.6,50.9,14.1,13.9,26.7,24.9,23.8,20,112.3,106.7,54.3,51.9,15,15.8,27,24.9,20.4,20.6,0,-0.699999999999996,-1,-0.9,-1.9,-0.300000000000001,0,3.4,-0.600000000000001,1.90000000000001,1,0.505645217001011
"3","Tue, Dec 22, 2020","Los Angeles Clippers",116,"Los Angeles Lakers",109,0,109,114.2,107.7,53.6,50.9,14.1,13.9,26.7,24.9,23.8,20,112.3,106.7,54.3,51.9,15,15.8,27,24.9,20.4,20.6,1,-0.699999999999996,-1,-0.9,-1.9,-0.300000000000001,0,3.4,-0.600000000000001,1.90000000000001,1,0.505645217001011
"4","Wed, Dec 23, 2020","Charlotte Hornets",114,"Cleveland Cavaliers",121,1,1273,107,114,51,54.9,15.2,14.7,26.7,28.2,18.7,16.2,107.5,115.4,52.5,56,16.9,12.9,28.5,24.8,16.9,16.2,NA,-1.5,-1.1,-1.7,1.8,-1.8,3.4,1.8,0,-0.5,-1.40000000000001,0.4778597023315
"5","Wed, Dec 23, 2020","New York Knicks",107,"Indiana Pacers",121,1,1204,106.5,112.8,50.3,54.1,14.7,13.8,28.6,24.4,18.2,22.6,110.7,108.4,53.9,51.5,13.3,14.8,23,26.8,17.1,19.4,0,-3.6,2.6,1.4,-1,5.6,-2.4,1.1,3.2,-4.2,4.39999999999999,0.513943197734436
"6","Wed, Dec 23, 2020","New York Knicks",107,"Indiana Pacers",121,1,1205,106.5,112.8,50.3,54.1,14.7,13.8,28.6,24.4,18.2,22.6,110.7,108.4,53.9,51.5,13.3,14.8,23,26.8,17.1,19.4,0,-3.6,2.6,1.4,-1,5.6,-2.4,1.1,3.2,-4.2,4.39999999999999,0.513943197734436
"7","Wed, Dec 23, 2020","Miami Heat",107,"Orlando Magic",113,1,337,112.9,109.7,55.1,52.4,14.8,14,23.8,23.2,23.6,21.3,109.7,109.9,51.1,54,12.9,14.8,25.1,23.5,20,17.6,1,4,-1.6,1.9,-0.800000000000001,-1.3,-0.300000000000001,3.6,3.7,3.2,-0.200000000000003,0.564165754943472
"8","Wed, Dec 23, 2020","Miami Heat",107,"Orlando Magic",113,1,338,112.9,109.7,55.1,52.4,14.8,14,23.8,23.2,23.6,21.3,109.7,109.9,51.1,54,12.9,14.8,25.1,23.5,20,17.6,1,4,-1.6,1.9,-0.800000000000001,-1.3,-0.300000000000001,3.6,3.7,3.2,-0.200000000000003,0.564165754943472
"9","Wed, Dec 23, 2020","Washington Wizards",107,"Philadelphia 76ers",113,1,1158,110.6,115.9,52.3,56.2,13.7,15.5,24.9,27.7,21.5,23.2,111.9,109.1,53.7,52.6,14.3,13.9,26.9,23.6,19.4,21.5,0,-1.40000000000001,3.6,-0.600000000000001,1.6,-2,4.1,2.1,1.7,-1.30000000000001,6.80000000000001,0.537771514801596
"10","Wed, Dec 23, 2020","Washington Wizards",107,"Philadelphia 76ers",113,1,1159,110.6,115.9,52.3,56.2,13.7,15.5,24.9,27.7,21.5,23.2,111.9,109.1,53.7,52.6,14.3,13.9,26.9,23.6,19.4,21.5,1,-1.40000000000001,3.6,-0.600000000000001,1.6,-2,4.1,2.1,1.7,-1.30000000000001,6.80000000000001,0.537771514801596
