"","Team","W","L","pts_poss_off","efg_percent_off","tov_percent_off","orb_percent_off","ft_rate_off","pts_poss_def","efg_percent_def","tov_percent_def","orb_percent_def","ft_rate_def"
"1","Average","1.0","1.0",109.6,53.4,15,24.8,20.5,109.6,53.4,15,24.8,20.5
"2","Brooklyn","2","0",120.2,60.1,18,28.9,32.4,91.6,41.9,16.3,32.1,14.5
"3","Atlanta","2","0",120.9,57.7,17.4,26.1,35.2,103.5,46.6,12.4,21.9,27
"4","Indiana","2","0",115.2,57.9,13.7,24.7,18.2,99.5,50,17.9,19.4,18.9
"5","Milwaukee","1","1",120.8,60.5,15.3,28.4,19.7,107.6,49.4,8.2,21.5,11.7
"6","Philadelphia","2","0",110.2,52.3,14.3,30.9,21.5,98,49.7,17.8,24,18.9
"7","Dallas","1","2",115.8,54.4,9.6,17.6,26,106.6,53.8,16.9,22.6,21.3
"8","Minnesota","2","0",112.4,50.8,10.9,26.6,19.8,104.4,48.6,16.7,33.9,17.3
"9","San Antonio","2","0",118.5,55.2,12.8,27.5,18.6,111,55.8,11,18,11.6
"10","Cleveland","2","0",109.8,58.2,17.9,22.8,18.6,102.7,53.5,17,20.2,16.7
"11","LA Lakers","1","1",120.7,60.6,17.7,30.1,23.6,114.1,56.8,12.6,17.6,20
"12","Orlando","2","0",112.6,54.9,14.9,26.2,23,106.1,55.4,16.9,19.6,17.5
"13","Utah","1","1",113.6,50.6,14.7,34.3,21.5,108.5,49.2,8,21.7,15
"14","Miami","1","1",108.6,57.4,19.8,18.7,22.3,104.7,50.6,17.9,27.2,27.7
"15","Oklahoma City","1","0",104.8,51.1,16.3,23.5,21.6,101.9,47.3,12.4,23.8,21.7
"16","Sacramento","2","0",108,48.9,15,31.8,25.1,105.1,50,12.1,22.5,15.4
"17","New Orleans","1","1",107.5,57.2,22.6,28,23.4,106,56,19.2,22,17.4
"18","Phoenix","1","1",102,50.8,14.6,20.8,16.4,102,48,14.2,24.3,25.7
"19","Houston","0","1",118.9,58,14.2,23.9,28.7,120.8,55.9,12.3,35.1,14.9
"20","Charlotte","0","2",107.3,53.3,13.6,20.7,15.5,111.7,56.3,18.5,28.4,19.5
"21","Washington","0","2",104.6,54.7,15.7,18.4,17.3,112,54.1,14.8,26.7,25.3
"22","Portland","1","1",112.5,51.7,9.4,25.7,16,120.2,57.9,12.4,23.3,19.9
"23","Denver","0","2",110.7,53,13.8,25,24.7,119,56.3,17.4,32.6,26.3
"24","Detroit","0","2",97.7,50.5,17.1,23.2,13.8,106.3,52.7,13.9,19.4,23.4
"25","Toronto","0","2",103.9,53.7,15.8,23,11.2,113.2,59.3,20.5,32,11.8
"26","Memphis","0","2",110,51.9,10,18.9,19.1,119.4,53.6,12.3,24.8,31.9
"27","LA Clippers","2","1",106.1,52.6,17.5,23.5,21.8,116.7,54.9,13.5,26.8,29.2
"28","Boston","1","1",111.5,49.7,10.4,32.5,10.8,123.6,61.1,15.7,29.6,24.1
"29","New York","0","2",99.5,49.4,16,20.6,19.5,115.4,53.7,11.8,30.2,19.8
"30","Chicago","0","2",97.4,46.6,17.9,24.7,22.5,120.6,64.1,18,21.4,22.4
"31","Golden State","0","2",86.5,40.7,14.1,20.2,15.9,117.1,59.3,17.6,27.6,27.6
