Home,Away,PTS_home,PTS_away,HOME_TEAM_WINS,pts_poss_off1920.x,pts_poss_def1920.x,efg_percent_off1920.x,efg_percent_def1920.x,tov_percent_off1920.x,tov_percent_def1920.x,orb_percent_off1920.x,orb_percent_def1920.x,ft_rate_off1920.x,ft_rate_def1920.x,pts_poss_off1920.y,pts_poss_def1920.y,efg_percent_off1920.y,efg_percent_def1920.y,tov_percent_off1920.y,tov_percent_def1920.y,orb_percent_off1920.y,orb_percent_def1920.y,ft_rate_off1920.y,ft_rate_def1920.y,efg_diff_off,efg_diff_def,tov_diff_off,tov_diff_def,orb_diff_off,orb_diff_def,ft_diff_off,ft_diff_def,pts_poss_off,pts_poss_def,estimate,pred,accuracy
Orlando Magic,Charlotte Hornets,120,117,1,201.87,195.75,93.69,97.56,23.580000000000002,27.36,45.81,41.49000000000001,44.55,29.610000000000003,191.51999999999998,199.89,92.88,99.36,26.189999999999998,29.880000000000003,44.370000000000005,47.879999999999995,29.159999999999997,32.58,-5.670000000000002,4.680000000000007,-6.300000000000001,1.1700000000000017,-2.069999999999993,-2.8799999999999955,11.969999999999999,0.4500000000000064,1.9800000000000182,4.230000000000018,0.41422896251388525,0,0
Washington Wizards,Detroit Pistons,99,96,1,195.48,207.09,95.67,97.74000000000001,25.65,25.83,41.94,48.51,33.03,48.870000000000005,192.42000000000002,203.94,93.15,98.82,26.910000000000004,25.11,46.62,42.75,31.77,41.040000000000006,-3.1499999999999915,4.590000000000003,0.5399999999999991,-1.0800000000000054,-0.8100000000000023,1.8900000000000006,-8.010000000000005,17.100000000000005,-8.460000000000008,14.669999999999987,0.559414425390069,1,1
Memphis Grizzlies,Atlanta Hawks,116,117,0,195.75,200.79000000000002,93.24000000000001,93.42000000000002,24.48,24.84,45,45.54,34.65,43.2,208.07999999999998,201.42000000000002,99.81,92.34,28.35,22.770000000000003,45.629999999999995,47.16,49.68,43.2,0.9000000000000057,-6.389999999999986,1.7099999999999973,-3.5100000000000016,-2.1599999999999966,-0.0899999999999963,-8.550000000000004,-6.479999999999997,-5.670000000000016,-7.289999999999964,0.5574658760710651,1,0
Indiana Pacers,Philadelphia 76ers,107,113,0,200.79000000000002,189.09,99.81,93.24000000000001,24.93,29.34,40.769999999999996,41.760000000000005,30.060000000000002,35.64,196.11,195.20999999999998,95.22,95.4,28.17,27.450000000000003,51.300000000000004,45.09,36.63,34.650000000000006,4.409999999999997,-1.9799999999999898,-2.520000000000003,1.1699999999999982,-4.320000000000007,-9.54,-4.590000000000003,-0.990000000000002,5.580000000000041,-7.02000000000001,0.5713245489349292,1,0
Toronto Raptors,Miami Heat,105,117,0,193.41000000000003,196.65,96.48,98.91,27.270000000000003,33.48,42.3,52.47,29.07,28.89,199.35000000000002,192.96,101.25,92.69999999999999,31.14,28.71,38.25,45.36,41.31,44.1,3.7800000000000153,-2.3400000000000034,-1.4399999999999977,2.3399999999999963,-3.0600000000000023,14.219999999999999,-15.030000000000001,-12.420000000000002,0.45000000000001705,-2.700000000000017,0.6385074022222851,1,0
New York Knicks,Cleveland Cavaliers,119,83,1,194.85000000000002,202.41,94.13999999999999,94.41,27.900000000000002,23.040000000000003,47.61,49.230000000000004,35.370000000000005,39.06,200.7,194.76000000000002,100.35,98.1,30.33,28.439999999999998,48.6,42.39,30.419999999999998,30.6,-3.960000000000008,-5.939999999999998,-0.5399999999999956,-7.289999999999996,5.219999999999999,0.6300000000000026,4.770000000000003,8.640000000000004,0.09000000000000341,1.710000000000008,0.4066180434090451,0,0
Boston Celtics,Brooklyn Nets,89,113,0,200.88,202.05,94.32000000000001,99.09,23.94,28.080000000000002,50.67,45.900000000000006,31.770000000000003,37.44,196.92000000000002,187.47000000000003,96.39,87.30000000000001,28.98,25.740000000000002,46.800000000000004,50.67,39.6,31.14,7.019999999999996,2.700000000000003,-1.8000000000000007,-0.8999999999999986,0,-0.8999999999999986,0.6300000000000026,-2.1600000000000037,13.409999999999968,5.1299999999999955,0.6515469964322296,1,0
New Orleans Pelicans,Milwaukee Bucks,127,113,1,193.86,192.87,94.77000000000001,96.12,29.97,28.53,48.6,40.77,37.53,32.040000000000006,205.74,197.10000000000002,99.36,93.06,25.47,22.05,46.620000000000005,40.95,37.17,30.24,1.710000000000008,-3.239999999999995,7.919999999999998,3.0600000000000023,7.649999999999999,-5.850000000000001,7.290000000000003,-5.1299999999999955,-3.240000000000009,-12.870000000000005,0.5211932695284005,1,1
Oklahoma City Thunder,Chicago Bulls,103,105,0,195.75,194.04000000000002,95.94,94.05000000000001,27.27,26.1,42.93,44.730000000000004,38.07000000000001,31.5,188.64,205.01999999999998,93.87,101.34,31.14,29.88,44.64,44.46000000000001,37.71,43.2,-5.400000000000006,0.18000000000000682,-2.6099999999999994,-5.039999999999999,-1.5300000000000082,0.09000000000000341,-5.1299999999999955,-6.210000000000001,-9.269999999999982,5.400000000000034,0.514242061991119,1,0
Denver Nuggets,Portland Trail Blazers,129,96,1,206.64000000000001,204.12,99.09,98.64,25.38,28.71,49.5,48.69,36.36,39.150000000000006,204.3,207.99,96.03,98.55000000000001,19.98,23.4,44.730000000000004,44.370000000000005,31.230000000000004,36,0.539999999999992,2.6099999999999994,1.9800000000000004,8.73,5.1299999999999955,3.9599999999999937,0.35999999999999943,7.920000000000002,-1.3499999999999943,-0.18000000000000682,0.5178034270119802,1,1
Phoenix Suns,Los Angeles Lakers,113,114,0,197.37,193.23000000000002,95.67,93.6,24.660000000000004,26.55,41.4,41.85,33.66,43.2,208.62,193.41000000000003,103.05000000000001,93.87,28.44,25.92,47.52,43.47,36.09,32.85,1.7999999999999972,-9.450000000000017,-1.259999999999998,-1.8900000000000006,-2.0700000000000003,-5.670000000000002,0.8099999999999952,7.109999999999999,3.9599999999999795,-15.389999999999986,0.43318731248671855,0,1
Orlando Magic,Charlotte Hornets,115,123,0,201.87,195.75,93.69,97.56,23.580000000000002,27.36,45.81,41.49000000000001,44.55,29.610000000000003,191.51999999999998,199.89,92.88,99.36,26.189999999999998,29.880000000000003,44.370000000000005,47.879999999999995,29.159999999999997,32.58,-5.670000000000002,4.680000000000007,-6.300000000000001,1.1700000000000017,-2.069999999999993,-2.8799999999999955,11.969999999999999,0.4500000000000064,1.9800000000000182,4.230000000000018,0.41422896251388525,0,1
Washington Wizards,Detroit Pistons,86,97,0,195.48,207.09,95.67,97.74000000000001,25.65,25.83,41.94,48.51,33.03,48.870000000000005,192.42000000000002,203.94,93.15,98.82,26.910000000000004,25.11,46.62,42.75,31.77,41.040000000000006,-3.1499999999999915,4.590000000000003,0.5399999999999991,-1.0800000000000054,-0.8100000000000023,1.8900000000000006,-8.010000000000005,17.100000000000005,-8.460000000000008,14.669999999999987,0.559414425390069,1,0
Houston Rockets,San Antonio Spurs,128,106,1,204.3,211.32,100.08,101.07,26.55,26.19,40.5,55.44,41.94,31.14,201.06,197.64,96.03,94.68,23.22,20.61,40.77,39.959999999999994,33.21,31.23,5.3999999999999915,5.039999999999992,5.940000000000001,2.9700000000000024,0.5400000000000063,14.669999999999995,10.709999999999997,-2.0700000000000003,6.660000000000025,10.259999999999991,0.6471597211699952,1,1
