Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner,Prediction
"Tue, Dec 22, 2020",Golden State Warriors,99,Brooklyn Nets,125,Brooklyn Nets,
"Tue, Dec 22, 2020",Los Angeles Clippers,116,Los Angeles Lakers,109,Los Angeles Clippers,
"Wed, Dec 23, 2020",Charlotte Hornets,114,Cleveland Cavaliers,121,Cleveland Cavaliers,
"Wed, Dec 23, 2020",New York Knicks,107,Indiana Pacers,121,Indiana Pacers,
"Wed, Dec 23, 2020",Miami Heat,107,Orlando Magic,113,Orlando Magic,
"Wed, Dec 23, 2020",Washington Wizards,107,Philadelphia 76ers,113,Philadelphia 76ers,
"Wed, Dec 23, 2020",New Orleans Pelicans,113,Toronto Raptors,99,New Orleans Pelicans,
"Wed, Dec 23, 2020",Milwaukee Bucks,121,Boston Celtics,122,Boston Celtics,
"Wed, Dec 23, 2020",Atlanta Hawks,124,Chicago Bulls,104,Atlanta Hawks,
"Wed, Dec 23, 2020",San Antonio Spurs,131,Memphis Grizzlies,119,San Antonio Spurs,
"Wed, Dec 23, 2020",Detroit Pistons,101,Minnesota Timberwolves,111,Minnesota Timberwolves,
"Wed, Dec 23, 2020",Sacramento Kings,124,Denver Nuggets,122,Sacramento Kings,
"Wed, Dec 23, 2020",Utah Jazz,120,Portland Trail Blazers,100,Utah Jazz,
"Wed, Dec 23, 2020",Dallas Mavericks,102,Phoenix Suns,106,Phoenix Suns,
"Fri, Dec 25, 2020",New Orleans Pelicans,98,Miami Heat,111,Miami Heat,
"Fri, Dec 25, 2020",Golden State Warriors,99,Milwaukee Bucks,138,Milwaukee Bucks,
"Fri, Dec 25, 2020",Brooklyn Nets,123,Boston Celtics,95,Brooklyn Nets,
"Fri, Dec 25, 2020",Dallas Mavericks,115,Los Angeles Lakers,138,Los Angeles Lakers,
"Fri, Dec 25, 2020",Los Angeles Clippers,121,Denver Nuggets,108,Los Angeles Clippers,
"Sat, Dec 26, 2020",Atlanta Hawks,122,Memphis Grizzlies,112,Atlanta Hawks,
"Sat, Dec 26, 2020",Oklahoma City Thunder,109,Charlotte Hornets,107,Oklahoma City Thunder,
"Sat, Dec 26, 2020",Cleveland Cavaliers,128,Detroit Pistons,119,Cleveland Cavaliers,
"Sat, Dec 26, 2020",Orlando Magic,130,Washington Wizards,120,Orlando Magic,
"Sat, Dec 26, 2020",Philadelphia 76ers,109,New York Knicks,89,Philadelphia 76ers,
"Sat, Dec 26, 2020",Indiana Pacers,125,Chicago Bulls,106,Indiana Pacers,
"Sat, Dec 26, 2020",Toronto Raptors,114,San Antonio Spurs,119,San Antonio Spurs,
"Sat, Dec 26, 2020",Minnesota Timberwolves,116,Utah Jazz,111,Minnesota Timberwolves,
"Sat, Dec 26, 2020",Houston Rockets,126,Portland Trail Blazers,128,Portland Trail Blazers,
"Sat, Dec 26, 2020",Phoenix Suns,103,Sacramento Kings,106,Sacramento Kings,
"Sun, Dec 27, 2020",Dallas Mavericks,124,Los Angeles Clippers,73,Dallas Mavericks,
"Sun, Dec 27, 2020",San Antonio Spurs,95,New Orleans Pelicans,98,New Orleans Pelicans,
"Sun, Dec 27, 2020",Orlando Magic,120,Washington Wizards,113,Orlando Magic,
"Sun, Dec 27, 2020",Brooklyn Nets,104,Charlotte Hornets,106,Charlotte Hornets,
"Sun, Dec 27, 2020",Philadelphia 76ers,94,Cleveland Cavaliers,118,Cleveland Cavaliers,
"Sun, Dec 27, 2020",Milwaukee Bucks,110,New York Knicks,130,New York Knicks,
"Sun, Dec 27, 2020",Boston Celtics,107,Indiana Pacers,108,Indiana Pacers,
"Sun, Dec 27, 2020",Golden State Warriors,129,Chicago Bulls,128,Golden State Warriors,
"Sun, Dec 27, 2020",Phoenix Suns,116,Sacramento Kings,100,Phoenix Suns,
"Sun, Dec 27, 2020",Minnesota Timberwolves,91,Los Angeles Lakers,127,Los Angeles Lakers,
"Mon, Dec 28, 2020",Memphis Grizzlies,116,Brooklyn Nets,111,Memphis Grizzlies,
"Mon, Dec 28, 2020",Detroit Pistons,120,Atlanta Hawks,128,Atlanta Hawks,
"Mon, Dec 28, 2020",Utah Jazz,110,Oklahoma City Thunder,109,Utah Jazz,
"Mon, Dec 28, 2020",Houston Rockets,111,Denver Nuggets,124,Denver Nuggets,
"Mon, Dec 28, 2020",Portland Trail Blazers,115,Los Angeles Lakers,107,Portland Trail Blazers,
"Tue, Dec 29, 2020",New York Knicks,,Cleveland Cavaliers,,,Cavs
"Tue, Dec 29, 2020",Golden State Warriors,,Detroit Pistons,,,Pistons
"Tue, Dec 29, 2020",Boston Celtics,,Indiana Pacers,,,Pacers
"Tue, Dec 29, 2020",Chicago Bulls,,Washington Wizards,,,Wiz
"Tue, Dec 29, 2020",Toronto Raptors,,Philadelphia 76ers,,,Raps
"Tue, Dec 29, 2020",Milwaukee Bucks,,Miami Heat,,,Heat
"Tue, Dec 29, 2020",Orlando Magic,,Oklahoma City Thunder,,,Magic
"Tue, Dec 29, 2020",New Orleans Pelicans,,Phoenix Suns,,,Pels
"Tue, Dec 29, 2020",Denver Nuggets,,Sacramento Kings,,,Nuggets
"Tue, Dec 29, 2020",Minnesota Timberwolves,,Los Angeles Clippers,,,Clippers
"Wed, Dec 30, 2020",Milwaukee Bucks,,Miami Heat,,,
"Wed, Dec 30, 2020",Atlanta Hawks,,Brooklyn Nets,,,
"Wed, Dec 30, 2020",Memphis Grizzlies,,Boston Celtics,,,
"Wed, Dec 30, 2020",Charlotte Hornets,,Dallas Mavericks,,,
"Wed, Dec 30, 2020",Los Angeles Lakers,,San Antonio Spurs,,,
"Wed, Dec 30, 2020",Portland Trail Blazers,,Los Angeles Clippers,,,
"Thu, Dec 31, 2020",Cleveland Cavaliers,,Indiana Pacers,,,
"Thu, Dec 31, 2020",Chicago Bulls,,Washington Wizards,,,
"Thu, Dec 31, 2020",Philadelphia 76ers,,Orlando Magic,,,
"Thu, Dec 31, 2020",Sacramento Kings,,Houston Rockets,,,
"Thu, Dec 31, 2020",New York Knicks,,Toronto Raptors,,,
